amount;text
1;Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.
5;Ищем жилье! 2взрослых и 3 ребенка ( 6,6 и 4 года) можно 2 двухспалки,недалеко от центра и моря,эконом! С 11.07 по 23.07.
4;Ищем жильё с15.06 на 2 недели 2 взрослыми 2 детей , не далеко от моря ,не дорого можно квартиру и т д ?
6;Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...
4;Здравствуйте, интересует жилье,с 18 августа по 24 ,два взрослых,и дети 3 года и 4 месяца?
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
2;Здравствуйте,ищем жилье. 2х местный номер,с удобствами. с 17.07 по 27.07.
3;Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет.
4;"Добрый День!! Семья 4 человека, 2 взрослых, дети 10 и 3 года, ищем жилье, можно 3-х местный с доп.местом. С 1 июля поближе к морю и не дорого

😉"
3;Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет
3;"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
2;Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
2;Ищем жильё эконом класса, до 1000 на двоих, с 7 по 15 августа, недалеко от моря. Писать в личку
3;Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
4;Здравствуйте. Ищем жилье с 27.06 по 5.07 на 4 человека (1 взрослая пара и мама с ребенком 6 лет).Недалеко от пляжа. Предложения в личку.
