amount;text
6;Сниму недорогое жилье в лазаревском на 6 чел 3 взр и 3 дет 30.07-09.08
4;Ищем жильё на 4 взрослых с 31.08.18 по 07.08.18, желательно центр
4;"Здравствуйте,ищем жильё 😊
Лазоревское с 29.06. По 25.07. 4чел. ( 2 взрослых и 2 детей) сумма не более 65000 р. Квартира 2-х ком."
3;Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет.
2;Здравствуйте, интересует жильё с 7.09 по 14.09. На двоих взрослых. Цена
3;"Ищем жильё для 2-х взрослых, ребёнок (7 лет) и собака. Только Чёрное море, не Крым и Анапа. 
С 15 июля на 10 дней. 
Предложения в личку."
2;Приезжаем 3 июля в Лоо. Семейная пара. Ищем жильё до 1300р за сутки. На 5-6 дней. С предложением в лс. Всем спасибо.
3;Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.
2;"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆"
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
4;Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!
1;Здравствуйте! Интересует жилье на срок более года!?? Буду жить я
4;Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.
2;Здравствуйте, ищем жилье с 22.07 по 31.07 2-х местный
5;Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
