amount;text
5;Ищем жилье! 2взрослых и 3 ребенка ( 6,6 и 4 года) можно 2 двухспалки,недалеко от центра и моря,эконом! С 11.07 по 23.07.
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Ищем жильё рядом с морем . На 2 взрослого..конец июля начало августа .. на 10 дней. 1000-1500₽
3;Снимем эконом жилье в Лазаревском около моря и парка с 14 по 17 июля на 2 взрослых и один ребенок 12 лет. Квартира не интересует!
2;Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
6;Ищем жилье на начало августа. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира.
3;"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
4;Здравствуйте! Интересует жилье недорого 1-10 сентября.2 взр и 2 детей-1 номер нужен.В ЛС.
2;Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
4;Добрый день,интересует жильё с 11.08 по 23.08 эконом на 4 чел,2 детей и 2 взрослых.
4;Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!
1;Здравствуйте! Интересует жилье на срок более года!?? Буду жить я
3;Здравствуйте!Ищем жильё в Лазаревское.2 взрослых и 1 ребёнок 10 лет.В период с 25.07. По 06.08.
3;Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
