amount;text
2;Ищем жилье на двоих с 7.08-14.08 . Ближе к центру и к моречку. (Wi-fi, кондиционер)
4;Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок
5;Ищем жилье! 2взрослых и 3 ребенка ( 6,6 и 4 года) можно 2 двухспалки,недалеко от центра и моря,эконом! С 11.07 по 23.07.
4;Ищем жильё с15.06 на 2 недели 2 взрослыми 2 детей , не далеко от моря ,не дорого можно квартиру и т д ?
3;Ищем жильё 2 взрослых и ребёнок 6 лет. С 8 июля по 21 июля
3;Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.
6;Ищем жилье на начало августа. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира.
2;Ищем жильё эконом класса, до 1000 на двоих, с 7 по 15 августа, недалеко от моря. Писать в личку
2;Ищем жилье в Лазаревском с 12.09. по 20.09. Семейная пара,только частный сектор.
3;ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
4;Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!
4;Ищем жилье, 4 человек, 3 взрослых и 1 ребенок 7 лет, с удобствами, двухкомнатный, либо два, двух местных, с удобствами и басейном, с 16 июля до 27 июля.
1;Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.
2;Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут.
3;ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору
