amount;text
4;Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!
3;"Здравствуйте.Снимем жилье с 12.07 по 17.07
 2 взрослых и 1 ребенок 6 лет,со всеми удобствами недалеко от моря. Приезд в час ночи."
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней.
6;"Добрый день! Ищем жильё в п.Лазаревская с 5.09 по по 17.09  4 взрослых и два ребёнка.
Ждём предложения в л.с."
4;Здравствуйте!снимем жильё в самом Лазаревском ,ищем недорогой стандарт или эконом !!с 18 июля на 10 дней !!!нужны 2 номера по 2 человека
3;Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет.
2;Приезжаем 3 июля в Лоо. Семейная пара. Ищем жильё до 1300р за сутки. На 5-6 дней. С предложением в лс. Всем спасибо.
4;Здравствуйте, ищем жилье с 10.08по 20.08,два взрослых,два ребенка,не далеко от моря.
2;Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
5;Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
3;ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
2;Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек, какие цены?
1;Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.
