amount;text
6;2 семьи по 3 человека (2 взрослых и ребенок) с 01.09-13.09 снимем жильё в пределах 5 минут от пляжа, 1500 руб/сутки. Рассмотрим все варианты.
4;Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок
3;Сниму не дорогое жилье 1 взрослый и 2 ребенка ( 9 лет и 5 лет). Примерно с 10 июля, на 20 дней. Спасибо
2;Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
4;Здравствуйте, ищем жилье с 10.08по 20.08,два взрослых,два ребенка,не далеко от моря.
3;Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.
2;Сниму жилье в июне у моря 2 взрослых до 1500 в сутки
4;Добрый день,интересует жильё с 11.08 по 23.08 эконом на 4 чел,2 детей и 2 взрослых.
3;Здравствуйте ищем жилье в Сочи с 14.08 на 7 ночей,2 взрослых 1 ребенок 4 года,недалеко от моря,развлечений,во дворе с игровой площадкой и желательно с бассейном.Предложения пожалуйста в личные сообщения😊
1;Здравствуйте! Интересует жилье на срок более года!?? Буду жить я
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
5;Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
3;Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
2;Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут.
