amount;text
4;Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!
5;Здравствуйте! Ищем жильё для 2 взрослых и 3 детей (17,5,,2) в период с 1.08.2018,на 10 дней,недорого.
6;Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...
4;"Здравствуйте,ищем жильё 😊
Лазоревское с 29.06. По 25.07. 4чел. ( 2 взрослых и 2 детей) сумма не более 65000 р. Квартира 2-х ком."
3;Здравствуйте, интересует жилье с 17.08 по 25.08 двое взрослых и девочка 14 лет.
3;Ищу жилье, интересует Пицунда, песчаный пляж, недалеко от моря. С 20-22 на 10 дней, 2 взрослых + 1 ребенок 2,5 года Рассмотрю все варианты.
2;Добрый день. Сниму жильё на 2 недели. Конец августа-начала сентября. Два взрослых человека. По адекватной цене в приличном месте. Пишите в лс.
2;"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆"
2;Ищем жилье в Лазаревском с 12.09. по 20.09. Семейная пара,только частный сектор.
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
4;Добрый день,интересует жильё с 11.08 по 23.08 эконом на 4 чел,2 детей и 2 взрослых.
1;Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)
3;Здравствуйте!Ищем жильё в Лазаревское.2 взрослых и 1 ребёнок 10 лет.В период с 25.07. По 06.08.
4;Ищем жилье, 4 человек, 3 взрослых и 1 ребенок 7 лет, с удобствами, двухкомнатный, либо два, двух местных, с удобствами и басейном, с 16 июля до 27 июля.
2;Добрый день! Ищем жилье в Лазаревском с 02.07-10.07. Двухместный номер с удобствами. Вблизи моря, не окраина. До 2т.р./сут.
