amount;text
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
6;Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля
3;"Интересует жилье в Сочи у пляжа ""Ривьера"" (максимально близко к морю!!!) с 8 по 15 июля. 1 номер/квартира/комната, 3 человека. Предложения в л/с"
2;Ищем жилье эконом с 6 по 16 сентября для женщины с ребенком 6 лет недалеко от моря.Пишите в личку
3;Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.
2;Сниму жилье в июне у моря 2 взрослых до 1500 в сутки
5;Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
1;"А море то далеко? Или есть какие то тайные тропы? 
Если я сниму жильё на этой улице , сколько мне пешком идти до моря ? А главное - сколько мне пешком идти обратно ? В гору. По жаре ."
4;Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.
4;Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ
4;Ищем жилье, 4 человек, 3 взрослых и 1 ребенок 7 лет, с удобствами, двухкомнатный, либо два, двух местных, с удобствами и басейном, с 16 июля до 27 июля.
2;Ищем не дорогое жильё на начало июля , не далеко от моря ..,на 2х
