amount;text
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.
2;Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.
3;"Интересует жилье в Сочи у пляжа ""Ривьера"" (максимально близко к морю!!!) с 8 по 15 июля. 1 номер/квартира/комната, 3 человека. Предложения в л/с"
6;Ищем жилье на начало августа. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира.
3;"Здравствуйте. Интересует жильё в Лазаревском. 3е взрослых. 
Со своим сан узлом и желательно с балконом. Не больше 10мин до моря. 
По приемлемым ценам. 
С 4 августа дней на 7-10"
4;Добрый день,интересует жильё с 11.08 по 23.08 эконом на 4 чел,2 детей и 2 взрослых.
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
2;здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?
3;ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
2;Здравствуйте, ищем жилье с 22.07 по 31.07 2-х местный
4;Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ
5;Ищем жильё  . 2 взрослых, трое детей( 2 г, 5 лет , 8 лет).не далеко от моря , анимация ( было бы отлично), желательно бассейн, детская площадка.  Период с 10 августа по 22-23 августа. Не больше 3500 т за сутки
1;Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.
