amount;text
2;Ищем жилье на двоих с 7.08-14.08 . Ближе к центру и к моречку. (Wi-fi, кондиционер)
4;Добрый день! Ищем жильё (гостевой дом) с парковкой в Лазаревском, планируем приезд 5-6 августа на 7 дней, двое взрослых и двое детей (16 и 2 г) не далеко от моря. Рассмотрим ваши предложения!
6;Добрый вечер! ищем жилье на отдых с 16-29 августа.на 6 человек...
4;Здравствуйте!снимем жильё в самом Лазаревском ,ищем недорогой стандарт или эконом !!с 18 июля на 10 дней !!!нужны 2 номера по 2 человека
3;Ищем жильё 2 взрослых и ребёнок 6 лет. С 8 июля по 21 июля
2;Приезжаем 3 июля в Лоо. Семейная пара. Ищем жильё до 1300р за сутки. На 5-6 дней. С предложением в лс. Всем спасибо.
4;Здравствуйте, ищем жилье с 10.08по 20.08,два взрослых,два ребенка,не далеко от моря.
3;"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
4;Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек
2;"Ищем жилье в Лазаревском с 12 по 18 августа. 
Не дороже 1000р за комнату. Нас двое."
3;Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
2;Здравствуйте, ищем жилье с 22.07 по 31.07 2-х местный
5;Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
1;Здравствуйте. Ищем жильё в период с 26 мая по 14 июня. Рядом с санаторием Бирюза. На одного человека и две маленькие собачки.
3;ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору
