amount;text
5;ищем жилье в центре недалеко от моря с 23.07-03.08 - нужен 1 двухместный номер, 1 трехместный, недорого. или как вариант дом на 2 семьи (5 чел)
2;"Сниму жильё в Аше ( на улице Репина)
С 16/29 июля 
2х местный писать в лс)"
3;"Здравствуйте.Снимем жилье с 12.07 по 17.07
 2 взрослых и 1 ребенок 6 лет,со всеми удобствами недалеко от моря. Приезд в час ночи."
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней.
2;Ищем жилье в самом Лазаревском для двоих, 2-местный номер с удобствами, с 7-8 сентября не менее чем на неделю, 700 р. за номер
6;"Добрый день! Ищем жильё в п.Лазаревская с 5.09 по по 17.09  4 взрослых и два ребёнка.
Ждём предложения в л.с."
3;Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.
4;"Добрый День!! Семья 4 человека, 2 взрослых, дети 10 и 3 года, ищем жилье, можно 3-х местный с доп.местом. С 1 июля поближе к морю и не дорого

😉"
3;"Ищем жильё для 2-х взрослых, ребёнок (7 лет) и собака. Только Чёрное море, не Крым и Анапа. 
С 15 июля на 10 дней. 
Предложения в личку."
4;Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек
3;Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
2;Сниму жилье в июне у моря 2 взрослых до 1500 в сутки
4;Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.
1;Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)
