amount;text
5;ищем жилье в центре недалеко от моря с 23.07-03.08 - нужен 1 двухместный номер, 1 трехместный, недорого. или как вариант дом на 2 семьи (5 чел)
6;Сниму недорогое жилье в лазаревском на 6 чел 3 взр и 3 дет 30.07-09.08
3;Сниму не дорогое жилье 1 взрослый и 2 ребенка ( 9 лет и 5 лет). Примерно с 10 июля, на 20 дней. Спасибо
4;Ищем жильё в Лазаревском,желательно улица Павлова,не далеко от моря (5 мин.) в период с 10.06 по 26.06. Взрослых 2,детей 2 по 7 лет.Рассмотрим все варианты
1;Интересует жилье на одного человека с 08.07. до 15.07. Не далеко от пляжа 🤗
2;Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.
2;Здравствуйте, интересует жильё с 7.09 по 14.09. На двоих взрослых. Цена
3;"Интересует жилье в Сочи у пляжа ""Ривьера"" (максимально близко к морю!!!) с 8 по 15 июля. 1 номер/квартира/комната, 3 человека. Предложения в л/с"
4;Лазаревское, Солоники - бюджетное жилье на 3 суток 4 взрослых с 5.09 интересует. Только в личку.
2;"Ищем жилье в Лазаревском с 12 по 18 августа. 
Не дороже 1000р за комнату. Нас двое."
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
4;Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ
3;Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
2;Ищем не дорогое жильё на начало июля , не далеко от моря ..,на 2х
