amount;text
4;Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.
6;Здравствуйте! Ищем жильё для 2 взрослых и 4 детей (8,5,4,2) в период с 29.05.2018 по 09.06.2018 года с кухней, недалёко от моря! Предложения в л/с
4;Ищем жильё на 4 взрослых с 31.08.18 по 07.08.18, желательно центр
1;Интересует жилье на одного человека с 08.07. до 15.07. Не далеко от пляжа 🤗
4;Ищем жильё в Лазаревское заезд 13 июля на 10 дней, 2 взр, дети 2 года и 5 лет, предпочтения душ, туалет, холодильник, кондиционер в номере, парковка для авто,  рассмотрим варианты, не курим
2;"Ищем жилье в Лазаревском с 12 по 18 августа. 
Не дороже 1000р за комнату. Нас двое."
4;Здравствуйте! Ищем жильё на августа числа с 6-7 на недельку. 2 взрослых и 2 ребенка 6 и 9 лет! Желательно номер в пределах 2000 или 500р с человека
2;Ищем жилье в Лазаревском с 12.09. по 20.09. Семейная пара,только частный сектор.
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
2;здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?
2;Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек в период с 4 по 13июля.(ул.Переулок Победы,ул.Свирская,ул.Седова). Рассмотрим все варианты.
5;"Снимем жилье в Лазаревском с 30.07 по 09.08.15 г. Нас 3 взрослых, 
2 детей 5 лет и 3,9 лет."
3;Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
3;ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору
