amount;text
1;Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.
4;Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок
3;Ищем жильё 2 взрослых и ребёнок 6 лет. С 8 июля по 21 июля
6;Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля
2;Здравствуйте,ищем жилье. 2х местный номер,с удобствами. с 17.07 по 27.07.
4;Здравствуйте, ищем жилье с 10.08по 20.08,два взрослых,два ребенка,не далеко от моря.
3;"Здравствуйте. Интересует жильё в Лазаревском. 3е взрослых. 
Со своим сан узлом и желательно с балконом. Не больше 10мин до моря. 
По приемлемым ценам. 
С 4 августа дней на 7-10"
2;Добрый день. Сниму жильё на 2 недели. Конец августа-начала сентября. Два взрослых человека. По адекватной цене в приличном месте. Пишите в лс.
2;Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
4;Здравствуйте! Ищем жильё на августа числа с 6-7 на недельку. 2 взрослых и 2 ребенка 6 и 9 лет! Желательно номер в пределах 2000 или 500р с человека
2;"Здравствуйте🤗
Ищем жильё в центре рядом с морем🌊
Цена за номер до2️⃣0️⃣0️⃣0️⃣руб с удобствами 🚿
Приезжаем парой с 10 августа по 18 августа 📆"
3;ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
5;"Снимем жилье в Лазаревском с 30.07 по 09.08.15 г. Нас 3 взрослых, 
2 детей 5 лет и 3,9 лет."
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
3;Здравствуйте! Ищем жилье с 17.06 на 21 день( 2 взрослых и 1 ребёнок 12 лет). Район Олимпийского парка- Имеретинская бухта)не далеко от моря.Со всеми удобствами.
