amount;text
6;Сниму недорогое жилье в лазаревском на 6 чел 3 взр и 3 дет 30.07-09.08
2;Ищем жилье на двоих с 7.08-14.08 . Ближе к центру и к моречку. (Wi-fi, кондиционер)
4;Снимем жилье с 30.06-7.07 Два взрослых и 2детей(7 и 11лет). Недалеко от моря.
5;Здравствуйте! Ищем жильё для 2 взрослых и 3 детей (17,5,,2) в период с 1.08.2018,на 10 дней,недорого.
4;"Здравствуйте,ищем жильё 😊
Лазоревское с 29.06. По 25.07. 4чел. ( 2 взрослых и 2 детей) сумма не более 65000 р. Квартира 2-х ком."
1;Интересует жилье на одного человека с 08.07. до 15.07. Не далеко от пляжа 🤗
2;Здравствуйте! Интересует жилье с 11 по 22 августа. Один взрослый и ребенок.
3;"Ищем жильё для 2-х взрослых, ребёнок (7 лет) и собака. Только Чёрное море, не Крым и Анапа. 
С 15 июля на 10 дней. 
Предложения в личку."
3;"Добрый день. Ищем  комфортное жильё в Лазаревском. 
2 взрослых и Ребенок 3 года 
С 15 по 22 августа."
2;Ищем жилье на 2их(взрослый и ребенок(9лет))Номер со всеми удобствами.....до моря не дольше 10мин .....оборуд.пляжи......в шаговой доступности развлекательная инфрастуктура...середина июня
3;Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
2;здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?
4;Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.
4;Ищем жилье, 4 человек, 3 взрослых и 1 ребенок 7 лет, с удобствами, двухкомнатный, либо два, двух местных, с удобствами и басейном, с 16 июля до 27 июля.
