amount;text
6;2 семьи по 3 человека (2 взрослых и ребенок) с 01.09-13.09 снимем жильё в пределах 5 минут от пляжа, 1500 руб/сутки. Рассмотрим все варианты.
2;"Сниму жильё в Аше ( на улице Репина)
С 16/29 июля 
2х местный писать в лс)"
1;Интересует жилье на одного человека с 08.07. до 15.07. Не далеко от пляжа 🤗
2;Здравствуйте, интересует жильё с 7.09 по 14.09. На двоих взрослых. Цена
3;Добрый вечер. Ищем жилье с 17.08 на 10 дней. Желательно с бассейном. 2е взрослых и ребенок 5 лет
4;Лазаревское, Солоники - бюджетное жилье на 3 суток 4 взрослых с 5.09 интересует. Только в личку.
4;Добрый день , интересует жильё , можно эконом с 19 по 29 августа , нужно два двухместных номера , или 1 на 4х человек
2;Ищем жилье эконом с 6 по 16 сентября для женщины с ребенком 6 лет недалеко от моря.Пишите в личку
3;Добрый день! Интересует жилье с 10-20 мая. 2 взрослых 1 ребенок. В Лазаревском
3;Добрый день!Ищем жилье с 25.04-05.05 2 взрослых + ребенок 3х лет!Душ и туалет в номере!
2;Здравствуйте! Ищем жилье в частном секторе эконом на 2х человек в период с 4 по 13июля.(ул.Переулок Победы,ул.Свирская,ул.Седова). Рассмотрим все варианты.
4;Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!
4;Ищем жильё с 4.07.на 20 дней. 2 взрослых и 2 детей
5;Ищем жильё  . 2 взрослых, трое детей( 2 г, 5 лет , 8 лет).не далеко от моря , анимация ( было бы отлично), желательно бассейн, детская площадка.  Период с 10 августа по 22-23 августа. Не больше 3500 т за сутки
3;ищем жилье с 8-20 августа с бассейном 3мест номер ,до моря не дольше 10мин, не в гору
