amount;text
1;Сниму жилье. 500-600 рублей сутки. Эконом класса. Заезд 18.06. На 9-10 дней. На одного человека.
4;Снимем жильё с 30 июня по 7 июля 3 взрослых и ребёнок
4;Здравствуйте ! Ищем жилье в Лазаревском 4 человека, с бассейном с 1.08 по 12.08!
2;Ищем жильё рядом с морем . На 2 взрослого..конец июля начало августа .. на 10 дней. 1000-1500₽
2;Добрый вечер! Ищем жилье на 2 человек, с 3 сентября на 7 дней.
3;Ищем жильё 2 взрослых и ребёнок 6 лет. С 8 июля по 21 июля
4;Ищем жильё в Лазаревском,желательно улица Павлова,не далеко от моря (5 мин.) в период с 10.06 по 26.06. Взрослых 2,детей 2 по 7 лет.Рассмотрим все варианты
3;"Ищем жильё для 2-х взрослых, ребёнок (7 лет) и собака. Только Чёрное море, не Крым и Анапа. 
С 15 июля на 10 дней. 
Предложения в личку."
6;Ищем жилье на начало августа. Двое взрослых и четыре ребенка - 13, 8 , 4 и 1 годик. Желательно отдельная квартира.
3;Ищем жильё с 18-19 августа на 7 дней.Частный сектор.Обязательно с местом для парковки легковой машины.Нас 3 взрослых.
2;Добрый день. Сниму жильё на 2 недели. Конец августа-начала сентября. Два взрослых человека. По адекватной цене в приличном месте. Пишите в лс.
4;Здравствуйте! Ищем жильё на августа числа с 6-7 на недельку. 2 взрослых и 2 ребенка 6 и 9 лет! Желательно номер в пределах 2000 или 500р с человека
2;Ищем жилье в Лазаревском с 12.09. по 20.09. Семейная пара,только частный сектор.
3;ищем жилье на 10 дней с 25 июля по 4-5 августа на 3 человек
5;Здравствуйте ищем жильё 3 взрослых 2 детей в Лазаревском с 13.06 по 20.06
